id,state,abbr,depression,exercise,fertility_below,fertility_above
1,Alabama,AL,21.3,72.4,32.7,41.2
2,Alaska,AK,15.6,80.8,19.7,57.2
3,Arizona,AZ,18.7,78.8,29.4,44.1
4,Arkansas,AR,21.5,69.4,33.5,38.5
5,California,CA,13.3,78.3,25.1,53.2
6,Colorado,CO,17,83.6,21,58.8
7,Connecticut,CT,18.3,79.4,21.2,58.5
8,Delaware,DE,18.3,75.1,25.3,58
9,District of Columbia,DC,18.1,79.2,27.3,60
10,Florida,FL,16.2,76.3,28.6,47.2
11,Georgia,GA,18.3,76.4,30.2,48.9
12,Hawaii,HI,10.7,80.4,17.1,62.5
13,Idaho,ID,19.5,81.3,28.2,44.7
14,Illinois,IL,16.7,76.1,24.9,57
15,Indiana,IN,20.7,73.9,32,45
16,Iowa,IA,18.7,77.4,21.4,56.8
17,Kansas,KS,18.6,76.2,25.5,51.4
18,Kentucky,KY,23.9,71.8,34.2,45.7
19,Louisiana,LA,18.7,70.5,30.9,47
20,Maine,ME,23.7,80.3,31.9,49
21,Maryland,MD,15.9,78.6,14.9,66.7
22,Massachusetts,MA,21.7,79.9,18.3,68.4
23,Michigan,MI,20.5,74.5,30.1,45.7
24,Minnesota,MN,18.2,79.8,21,61
25,Mississippi,MS,19.9,68.4,31.5,43.6
26,Missouri,MO,21.7,75,29.7,50.6
27,Montana,MT,20.4,80.4,20.4,49.1
28,Nebraska,NE,17.7,78.7,23,55.8
29,Nevada,NV,15.6,77.5,32.3,44.8
30,New Hampshire,NH,21,80.7,14.6,68.3
31,New Jersey,NJ,13.4,76.7,18.9,64.5
32,New Mexico,NM,21.1,76.7,31.9,41.9
33,New York,NY,15.9,74.1,26.8,53.9
34,North Carolina,NC,19,76.8,30.9,47.4
35,North Dakota,ND,17.3,78.7,17.4,67.5
36,Ohio,OH,20.9,75.1,31.1,48.8
37,Oklahoma,OK,21.8,71.7,33,43.9
38,Oregon,OR,24,83.5,28.3,45.2
39,Pennsylvania,PA,19.7,76.7,26.9,54.8
40,Rhode Island,RI,20.6,77.5,31.8,49.6
41,South Carolina,SC,19.9,74.7,33.2,43.5
42,South Dakota,SD,16.6,78.8,30.7,51.8
43,Tennessee,TN,21.4,73.2,34.2,43.1
44,Texas,TX,14.6,72.4,30.1,46.6
45,Utah,UT,20.7,83.2,16.6,56.8
46,Vermont,VT,21.8,81,16.3,58.7
47,Virginia,VA,17.4,76.5,18.1,62.6
48,Washington,WA,21.6,81.9,22.4,55.2
49,West Virginia,WV,23.6,71.3,31,44.5
50,Wisconsin,WI,17,78.8,25,56.3
51,Wyoming,WY,19,77.9,21.4,56.6
52,Puerto Rico,PR,18.5,59.4,61.8,14
